Category,Description,Additional Information
Professional Learning,"The step-by-step visuals were great; however, some audio would be beneficial for audio learners.",videos of step-by-step 
CTLS Parent/communication,"As a teacher, we are encouraged to message parents from CTLS instead of from email. I would like a direct link to messaging instead of clicking on parent, home, and then messaging.",Please help messaging be more efficient.
Digital Classroom,Under Resources - it would be nice to be able to delete files that were accidentally added to the wrong class so that students don't get confused with content that pertains to their course resources. ,"A trash can under ""Resources"" in Digital Classroom so that teachers can drop files that need to be erased."
CTLS Parent/communication,Add CTLS Parent feature ,Unable to receive student absence notes submitted by parents. I am the attendance clerk. 
CTLS Parent/communication,I am the school nurse.  I would like the ability to contact parents of students who have come to the clinic sick or with complaints. Parents often do not answer their phones and many do not have active voice mailboxes set up - this makes it difficult to reach them. Most will answer and email sent by the school.,"A CTLS parent message is also helpful in the event they do not speak English, as they can translate the email on their phone or computer"
Digital Classroom,"If CTLS remains idle, it logs our teachers out. They are requesting the time-out trigger to be delayed to a longer setting, so it doesn't log them out as quickly.",n/a
CTLS Parent/communication,We would like to be able to upload pictures to families but when we go to the child there are 8 listings for them. It takes 12 clicks to get to send/ upload families the pictures of their kids.,We would like to send pictures easily through CTLS.
CTLS Parent/communication,Kindergarten teachers need an easier way to send photos. I would suggest a CTLS Photo- where I can take and send photos with less than 12 clicks. Can we make it work like Seesaw? I counted today and it took me 15 clicks to send photos for parents. Kindergarten parents LOVE these photos. Please please please make it easier,CTLS needs to be more kinder friendly
CTLS Parent/communication,please please please make it so each child only shows up one time when I try to send a message. I am having to scroll through 154 names to send a message to a parent. Each child is listed 7 times. once is plenty,please make it easier to use
Digital Classroom,"I would like to filter the students that have turned in a single assignment, missing that assignment, and already have that assignment graded within the gradebook. If a filter was located at the top of the assignment inside the gradebook, it would eliminate the excessive amount of scrolling and bunch the students into actionable groups.","The gradebook can filter ready to grade, missing, etc. But with 100+ students and 20+ assignments, by the end of the semester gradebook is overwhelming. If we could group students into actionable chunks: Missing, already graded, needs grading. When we make a list of students that need assistance or have to take the final, they are grouped together. "
Assess,"Currently in CTLS, the performance bands are different from the Georgia Milestones performance bands. Can they be changed to align with the performance bands on the Milestones? 
L1: 0-67
L2: 68-79
L3: 80-91
L4: 92-100",I am suggesting that the performance bands are the same as what obtains on the Georgia Milestones. 
Courses (teacher resources),"Our K team was discussing that it would be helpful to link the PowerPoints to use with the Enhanced Phonics lessons directly into the lesson. If this is possible, it would make things easier to access when teaching the lessons. This would make things more cohesive if they were embedded in the lesson plans as resources to use. ",This relates to the Enhanced Phonics Lessons/lesson plans that are located in CTLS- ELA- Kindergarten. 
Student Coursework,"Editing permission after pushing updates from one ""student coursework"" to another. ","CCCs often share and collaborate on a common CTLS classroom in order to share lesson plans and resources. Once the CCC classroom is done, each teacher can then ""push updates"" to their own CTLS classroom. Howver, once the updates are pushed, it can not be edited in that individual teachers CLTS. It says ""This content can only be edited in its original location."" We would like the ability to edit after the pushed update for circustances when one teacher's plan differs slightly from another. "
Assess,"Because a teacher-paced item has to have a rubric attached, you should not be able to save and close the item without a rubric attached when creating a teacher-paced item.",N/A
Global/system-wide,"Currently I have to login to CTLS, it acts like it didn't accept my login. Then I have to ""x"" that tab, open CTLS again and it logs me in immediately. This extra step several times a day is time consuming.",NA
Digital Classroom,"When screen recording within the video recording option in the text editor, there should be a way to already have the screen showing when the recording starts. It's frustrating that it starts recording from the integrated webcam no matter what, even though you can immediately switch to the screen recorder.",N/A
CTLS Parent/communication,It would be nice if parents go back and see previous years' report cards and print them out in parentvue instead of having to contact the school for them.  ,Being able to self service information that I need and not have to go to the school for it.
Digital Classroom,AI Detection software,turnitin.com/grammarly
Courses (teacher resources),"In the calendar feature, the recurring event feature is nice but it doesn't allow to delete the individual dates such as Fall break or Winter break.  If you delete one event out of the recurring event, the whole event gets deleted.  There should be a feature to delete only individual dates just like Google Calendar. ",N/A
Digital Classroom,"Zoom-- Teachers desperately need the ability to move everyone back into the waiting room with one click. This is important if there is a class disruption that needs to be dealt with (since we can't move them into break out rooms). This could also be managed if we could move all students into separate breakout rooms, but CCSD doesn't allow break out rooms. ",This is much needed for online class instruction.
Assess,I would like students to see items they got incorrect on assessments created in CTLS Assess at the end of the test like on Microsoft Forms.,n/a
Global/system-wide,"It would be beneficial to have the Clever icon on the teacher dashboard under District Links for teachers to easily access. Currently teachers are not consistently having success downloading Clever from the Company Portal, others find the url and then favorite it. This adds a layer of frustration for them navigating outside of the platform. ",It should be house on the Home page under District Links
Global/system-wide,Would you please put a direct link to Clever on the district sign-in page? It is quite the process to go to it from within CTLS. ,Any way to access Clever without 1st going through CTLS would be appreciated. 
CTLS Parent/communication,I would like to schedule messages ahead of time. ,Scheduled messages
Assess,We would like to be able to access the CTLS District Math Course work  assessments in CTLS assess.  Currently we are only able to link the assessments but we would like to be able to assign the actual assessments in assess.,We don't want to link the assessment.
